Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
21.3280,0.5991,52.6490,95.3046,116.7417,0.7712,5.2111,0.3510,11.5399,4.0509,8.6242,6884C199-0168-482D-9A3E-7D8B01B5609F,0.5524,2.2174,1.2249,21.5069,2019-10-22T14:08:27.037,7.409492e+01,4.7294
19.8726,0.6157,64.1111,129.1250,157.8819,0.5908,5.0302,0.2578,13.1507,3.3899,11.9626,6FE3E6AB-8BEB-4CA8-B6C8-98B5FDAC2E66,0.4965,2.4626,1.2227,10.6236,2019-10-22T14:08:27.238,6.664147e+01,5.8422
25.1429,0.8061,59.7337,131.7396,158.0473,0.9691,5.6580,1.0000,6.7303,6.7303,6.9550,502C701D-48CA-42A8-ACCF-F5D03670C0D4,0.4534,2.6459,1.1997,8.7280,2019-10-22T14:08:27.339,9.483871e+01,4.7294
14.0459,0.6277,60.0174,119.5130,145.4522,0.8722,4.2289,0.6181,7.5893,4.6911,7.5114,3B3380D3-142C-4048-BBCB-CE20D03F5B02,0.5022,2.4235,1.2170,5.7910,2019-10-22T14:08:27.339,3.959949e+01,3.6166
23.2231,0.8934,49.9875,94.1063,121.9375,0.8967,5.4377,0.3820,12.6360,4.8265,8.6242,A47542B7-6E76-4E87-BD12-A3749DE5DD3A,0.5312,2.4394,1.2957,22.9800,2019-10-22T14:08:27.437,8.418656e+01,5.8422
6.5915,0.4556,39.3649,93.8649,116.6081,0.4390,2.8970,0.2167,10.2829,2.2279,7.5114,26F92B5B-E387-4E3A-A2C8-1AA996A1E97A,0.4194,2.9622,1.2423,7.9282,2019-10-22T14:08:27.437,1.273045e+01,2.5038
38.4515,0.4922,47.4934,94.5764,116.3188,0.7070,6.9970,0.3563,14.1058,5.0259,11.4062,4BC5DD0A-17EE-4950-9407-FCAB495C428F,0.5022,2.4492,1.2299,12.7817,2019-10-22T14:08:27.437,1.793631e+02,5.2858
55.0296,0.4861,41.1100,98.4100,127.6433,0.5603,8.3705,0.1077,29.3617,3.1631,15.3010,241CC87A-BD5A-4EC2-A180-7FE6B5100215,0.4177,3.1049,1.2971,16.7410,2019-10-22T14:08:27.639,3.070850e+02,7.5114
16.6139,0.7104,43.3281,99.5859,126.3359,0.9327,4.5993,1.0000,5.9295,5.9295,6.9550,A62A4330-8E6B-4984-9054-EC21ADA3B9A2,0.4351,2.9158,1.2686,13.6248,2019-10-22T14:08:27.639,5.094133e+01,3.6166
21.3280,0.9253,60.3642,123.1126,143.9007,0.3514,5.2111,0.0736,25.2014,1.8549,11.4062,43D0D7CE-9B79-425B-B7C3-D890995B85F7,0.4903,2.3839,1.1689,6.7355,2019-10-22T14:08:27.736,7.409492e+01,9.1806
